km,station,train_id,time,hr,min,scenario
2,TOWNSEND / 4TH AND KING $,HSR 909_single_21,441,7,21,Baseline SB
78,SAN JOSE,HSR 909_single_21,492,8,12,Baseline SB
126,GILROY (HSR) $,HSR 909_single_21,517,8,37,Baseline SB
78,SAN JOSE,IC (HSR) 759_single_22,504,8,24,Baseline SB
126,GILROY (HSR) $,IC (HSR) 759_single_22,529,8,49,Baseline SB
78,SAN JOSE,REG (C-EXP) 411_multi_1,506,8,26,Baseline SB
81,TAMIEN (HSR) $,REG (C-EXP) 411_multi_1,509,8,29,Baseline SB
0,SALESFORCE TRANSIT CENTER (STC) $,REG (C-EXP) 511_single_23,441,7,21,Baseline SB
2,TOWNSEND / 4TH AND KING $,REG (C-EXP) 511_single_23,446,7,26,Baseline SB
5,22nd STREET,REG (C-EXP) 511_single_23,451,7,31,Baseline SB
20,SAN BRUNO,REG (C-EXP) 511_single_23,459,7,39,Baseline SB
24,MILLBRAE,REG (C-EXP) 511_single_23,463,7,43,Baseline SB
31,SAN MATEO,REG (C-EXP) 511_single_23,467,7,47,Baseline SB
35,HILLSDALE,REG (C-EXP) 511_single_23,472,7,52,Baseline SB
38,BELMONT,REG (C-EXP) 511_single_23,475,7,55,Baseline SB
49,MENLO PARK,REG (C-EXP) 511_single_23,482,8,2,Baseline SB
51,PALO ALTO,REG (C-EXP) 511_single_23,485,8,5,Baseline SB
53,CALIFORNIA AVENUE,REG (C-EXP) 511_single_23,488,8,8,Baseline SB
60,MOUNTAIN VIEW,REG (C-EXP) 511_single_23,493,8,13,Baseline SB
65,SUNNYVALE,REG (C-EXP) 511_single_23,497,8,17,Baseline SB
74,SANTA CLARA,REG (C-EXP) 511_single_23,503,8,23,Baseline SB
78,SAN JOSE,REG (C-EXP) 511_single_23,510,8,30,Baseline SB
81,TAMIEN (HSR) $,REG (C-EXP) 511_single_23,513,8,33,Baseline SB
0,SALESFORCE TRANSIT CENTER (STC) $,REG (C-EXP) 5_multi_1,446,7,26,Baseline SB
2,TOWNSEND / 4TH AND KING $,REG (C-EXP) 5_multi_1,451,7,31,Baseline SB
5,22nd STREET,REG (C-EXP) 5_multi_1,456,7,36,Baseline SB
