,scenario,departure_station,arrival_station,departure_hour,count_journey_time,mean_journey_time,min_journey_time,max_journey_time,count_wait_time,mean_wait_time,min_wait_time,max_wait_time
755,Existing,Bayshore Caltrain,Santa Clara Caltrain,5,2,77.5,77,78,60,22.833333333333332,0.0,49.0
756,Existing,Bayshore Caltrain,Santa Clara Caltrain,6,1,63.0,63,63,60,29.5,0.0,59.0
757,Existing,Bayshore Caltrain,Santa Clara Caltrain,7,1,63.0,63,63,60,29.5,0.0,59.0
758,Existing,Bayshore Caltrain,Santa Clara Caltrain,8,1,63.0,63,63,60,21.333333333333332,0.0,45.0
759,Existing,Bayshore Caltrain,Santa Clara Caltrain,9,1,77.0,77,77,60,28.683333333333334,0.0,58.0
760,Existing,Bayshore Caltrain,Santa Clara Caltrain,10,1,79.0,79,79,60,29.5,0.0,59.0
761,Existing,Bayshore Caltrain,Santa Clara Caltrain,11,1,79.0,79,79,60,29.5,0.0,59.0
762,Existing,Bayshore Caltrain,Santa Clara Caltrain,12,1,79.0,79,79,60,29.5,0.0,59.0
763,Existing,Bayshore Caltrain,Santa Clara Caltrain,13,1,79.0,79,79,60,29.5,0.0,59.0
764,Existing,Bayshore Caltrain,Santa Clara Caltrain,14,1,79.0,79,79,60,29.5,0.0,59.0
765,Existing,Bayshore Caltrain,Santa Clara Caltrain,15,1,83.0,83,83,60,56.166666666666664,0.0,91.0
766,Existing,Bayshore Caltrain,Santa Clara Caltrain,16,1,73.0,73,73,60,29.8,0.0,60.0
767,Existing,Bayshore Caltrain,Santa Clara Caltrain,17,1,75.0,75,75,60,29.216666666666665,0.0,58.0
768,Existing,Bayshore Caltrain,Santa Clara Caltrain,18,1,74.0,74,74,60,28.9,0.0,57.0
769,Existing,Bayshore Caltrain,Santa Clara Caltrain,19,1,79.0,79,79,60,29.5,0.0,59.0
770,Existing,Bayshore Caltrain,Santa Clara Caltrain,20,1,79.0,79,79,60,29.5,0.0,59.0
771,Existing,Bayshore Caltrain,Santa Clara Caltrain,21,1,79.0,79,79,60,29.5,0.0,59.0
772,Existing,Bayshore Caltrain,Santa Clara Caltrain,22,1,79.0,79,79,60,41.5,0.0,95.0
773,Existing,Bayshore Caltrain,Santa Clara Caltrain,24,1,79.0,79,79,16,7.5,0.0,15.0
774,Existing,Bayshore Caltrain,South San Francisco Caltrain,5,2,6.0,6,6,60,22.833333333333332,0.0,49.0
775,Existing,Bayshore Caltrain,South San Francisco Caltrain,6,1,7.0,7,7,60,29.5,0.0,59.0
776,Existing,Bayshore Caltrain,South San Francisco Caltrain,7,1,7.0,7,7,60,29.5,0.0,59.0
