trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,timepoint,start_service_area_id,end_service_area_id,start_service_area_radius,end_service_area_radius,continuous_pickup,continuous_drop_off,pickup_area_id,drop_off_area_id,pickup_service_area_radius,drop_off_service_area_radius
135,10:11:00,10:11:00,70101,14,,0,0,44889.83274209210,1,,,,,1,1,,,,
135,10:15:00,10:15:00,70091,15,,0,0,47023.40646756040,1,,,,,1,1,,,,
135,10:18:00,10:18:00,70081,16,,0,0,49347.82332173650,1,,,,,1,1,,,,
135,10:23:00,10:23:00,70061,17,,0,0,53666.16792233820,1,,,,,1,1,,,,
135,10:28:00,10:28:00,70051,18,,0,0,57815.98502780840,1,,,,,1,1,,,,
135,10:32:00,10:32:00,70041,19,,0,0,60784.96153348440,1,,,,,1,1,,,,
135,10:38:00,10:38:00,70031,20,,0,0,67460.14590249910,1,,,,,1,1,,,,
135,10:44:00,10:44:00,70021,21,,0,0,72878.60957860790,1,,,,,1,1,,,,
135,10:52:00,10:52:00,70011,22,,0,0,75401.75537871010,1,,,,,1,1,,,,
155,14:13:00,14:13:00,70261,1,,0,0,0,1,,,,,1,1,,,,
155,14:18:00,14:18:00,70241,2,,0,0,4121.03122796510,1,,,,,1,1,,,,
155,14:24:00,14:24:00,70231,3,,0,0,10016.37844469750,1,,,,,1,1,,,,
155,14:28:00,14:28:00,70221,4,,0,0,13203.47293483990,1,,,,,1,1,,,,
155,14:33:00,14:33:00,70211,5,,0,0,17517.67460050320,1,,,,,1,1,,,,
155,14:37:00,14:37:00,70201,6,,0,0,20625.85835375930,1,,,,,1,1,,,,
155,14:41:00,14:41:00,70191,7,,0,0,24569.44084405630,1,,,,,1,1,,,,
155,14:46:00,14:46:00,70171,8,,0,0,27117.38716350430,1,,,,,1,1,,,,
155,14:49:00,14:49:00,70161,9,,0,0,29128.14694540120,1,,,,,1,1,,,,
155,14:55:00,14:55:00,70141,10,,0,0,34729.75187555370,1,,,,,1,1,,,,
155,14:59:00,14:59:00,70131,11,,0,0,38221.36744850550,1,,,,,1,1,,,,
155,15:03:00,15:03:00,70121,12,,0,0,40206.88783290390,1,,,,,1,1,,,,
155,15:06:00,15:06:00,70111,13,,0,0,42900.26017744080,1,,,,,1,1,,,,
155,15:09:00,15:09:00,70101,14,,0,0,44889.83274209210,1,,,,,1,1,,,,
155,15:14:00,15:14:00,70091,15,,0,0,47023.40646756040,1,,,,,1,1,,,,
155,15:17:00,15:17:00,70081,16,,0,0,49347.82332173650,1,,,,,1,1,,,,
155,15:22:00,15:22:00,70061,17,,0,0,53666.16792233820,1,,,,,1,1,,,,
155,15:27:00,15:27:00,70051,18,,0,0,57815.98502780840,1,,,,,1,1,,,,
155,15:31:00,15:31:00,70041,19,,0,0,60784.96153348440,1,,,,,1,1,,,,
155,15:37:00,15:37:00,70031,20,,0,0,67460.14590249910,1,,,,,1,1,,,,
155,15:43:00,15:43:00,70021,21,,0,0,72878.60957860790,1,,,,,1,1,,,,
155,15:52:00,15:52:00,70011,22,,0,0,75401.75537871010,1,,,,,1,1,,,,
156,15:00:00,15:00:00,70012,1,,0,0,0,1,,,,,1,1,,,,
156,15:04:00,15:04:00,70022,2,,0,0,2521.94934933267,1,,,,,1,1,,,,
156,15:09:00,15:09:00,70032,3,,0,0,8397.84794910678,1,,,,,1,1,,,,
156,15:16:00,15:16:00,70042,4,,0,0,15088.00922772660,1,,,,,1,1,,,,
156,15:20:00,15:20:00,70052,5,,0,0,18052.86281224460,1,,,,,1,1,,,,
156,15:27:00,15:27:00,70062,6,,0,0,22207.65488136050,1,,,,,1,1,,,,
156,15:32:00,15:32:00,70082,7,,0,0,26519.48003152400,1,,,,,1,1,,,,
156,15:35:00,15:35:00,70092,8,,0,0,28827.32764301550,1,,,,,1,1,,,,
156,15:39:00,15:39:00,70102,9,,0,0,30976.31976807020,1,,,,,1,1,,,,
156,15:42:00,15:42:00,70112,10,,0,0,32981.18419537780,1,,,,,1,1,,,,
156,15:46:00,15:46:00,70122,11,,0,0,35676.18897680750,1,,,,,1,1,,,,
156,15:49:00,15:49:00,70132,12,,0,0,37667.06651487150,1,,,,,1,1,,,,
156,15:54:00,15:54:00,70142,13,,0,0,41159.68463654680,1,,,,,1,1,,,,
156,15:59:00,15:59:00,70162,14,,0,0,46760.25134872980,1,,,,,1,1,,,,
156,16:04:00,16:04:00,70172,15,,0,0,48771.63366341850,1,,,,,1,1,,,,
156,16:08:00,16:08:00,70192,16,,0,0,51319.90356819420,1,,,,,1,1,,,,
156,16:12:00,16:12:00,70202,17,,0,0,55259.58867915000,1,,,,,1,1,,,,
156,16:17:00,16:17:00,70212,18,,0,0,58368.00295451350,1,,,,,1,1,,,,
156,16:22:00,16:22:00,70222,19,,0,0,62680.52037466060,1,,,,,1,1,,,,
156,16:27:00,16:27:00,70232,20,,0,0,65870.46414810700,1,,,,,1,1,,,,
156,16:32:00,16:32:00,70242,21,,0,0,71760.14427959230,1,,,,,1,1,,,,
156,16:35:00,16:35:00,70252,22,,0,0,74012.57488932940,1,,,,,1,1,,,,
156,16:44:00,16:44:00,70262,23,,0,0,75885.10357900880,1,,,,,1,1,,,,
156,16:50:00,16:50:00,70272,24,,0,0,78772.95950961010,1,,,,,1,1,,,,
156,16:57:00,16:57:00,70282,25,,0,0,83772.17108991450,1,,,,,1,1,,,,
156,17:03:00,17:03:00,70292,26,,0,0,89076.37351393220,1,,,,,1,1,,,,
156,17:16:00,17:16:00,70302,27,,0,0,108127.13887876500,1,,,,,1,1,,,,
156,17:22:00,17:22:00,70312,28,,0,0,114044.68837881900,1,,,,,1,1,,,,
156,17:37:00,17:37:00,70322,29,,0,0,124106.28310085000,1,,,,,1,1,,,,
192,20:30:00,20:30:00,70012,1,Tamien,0,0,0,1,,,,,1,1,,,,
192,20:34:00,20:34:00,70022,2,Tamien,0,0,2521.94934933267,1,,,,,1,1,,,,
192,20:39:00,20:39:00,70032,3,Tamien,0,0,8397.84794910678,1,,,,,1,1,,,,
192,20:46:00,20:46:00,70042,4,Tamien,0,0,15088.00922772660,1,,,,,1,1,,,,
192,20:50:00,20:50:00,70052,5,Tamien,0,0,18052.86281224460,1,,,,,1,1,,,,
192,20:56:00,20:56:00,70062,6,Tamien,0,0,22207.65488136050,1,,,,,1,1,,,,
192,21:01:00,21:01:00,70082,7,Tamien,0,0,26519.48003152400,1,,,,,1,1,,,,
192,21:04:00,21:04:00,70092,8,Tamien,0,0,28827.32764301550,1,,,,,1,1,,,,
192,21:08:00,21:08:00,70102,9,Tamien,0,0,30976.31976807020,1,,,,,1,1,,,,
192,21:11:00,21:11:00,70112,10,Tamien,0,0,32981.18419537780,1,,,,,1,1,,,,
192,21:15:00,21:15:00,70122,11,Tamien,0,0,35676.18897680750,1,,,,,1,1,,,,
192,21:18:00,21:18:00,70132,12,Tamien,0,0,37667.06651487150,1,,,,,1,1,,,,
192,21:23:00,21:23:00,70142,13,Tamien,0,0,41159.68463654680,1,,,,,1,1,,,,
192,21:28:00,21:28:00,70162,14,Tamien,0,0,46760.25134872980,1,,,,,1,1,,,,
192,21:32:00,21:32:00,70172,15,Tamien,0,0,48771.63366341850,1,,,,,1,1,,,,
192,21:35:00,21:35:00,70192,16,Tamien,0,0,51319.90356819420,1,,,,,1,1,,,,
192,21:39:00,21:39:00,70202,17,Tamien,0,0,55259.58867915000,1,,,,,1,1,,,,
192,21:44:00,21:44:00,70212,18,Tamien,0,0,58368.00295451350,1,,,,,1,1,,,,
192,21:49:00,21:49:00,70222,19,Tamien,0,0,62680.52037466060,1,,,,,1,1,,,,
192,21:53:00,21:53:00,70232,20,Tamien,0,0,65870.46414810700,1,,,,,1,1,,,,
192,21:58:00,21:58:00,70242,21,Tamien,0,0,71760.14427959230,1,,,,,1,1,,,,
192,22:06:00,22:06:00,70262,22,Tamien,0,0,75885.43208446530,1,,,,,1,1,,,,
192,22:11:00,22:11:00,70272,23,Tamien,0,0,78773.39956262990,1,,,,,1,1,,,,
194,21:30:00,21:30:00,70012,1,Tamien,0,0,0,1,,,,,1,1,,,,
194,21:34:00,21:34:00,70022,2,Tamien,0,0,2521.94934933267,1,,,,,1,1,,,,
194,21:39:00,21:39:00,70032,3,Tamien,0,0,8397.84794910678,1,,,,,1,1,,,,
194,21:46:00,21:46:00,70042,4,Tamien,0,0,15088.00922772660,1,,,,,1,1,,,,
194,21:50:00,21:50:00,70052,5,Tamien,0,0,18052.86281224460,1,,,,,1,1,,,,
194,21:56:00,21:56:00,70062,6,Tamien,0,0,22207.65488136050,1,,,,,1,1,,,,
194,22:01:00,22:01:00,70082,7,Tamien,0,0,26519.48003152400,1,,,,,1,1,,,,
194,22:04:00,22:04:00,70092,8,Tamien,0,0,28827.32764301550,1,,,,,1,1,,,,
194,22:08:00,22:08:00,70102,9,Tamien,0,0,30976.31976807020,1,,,,,1,1,,,,
194,22:11:00,22:11:00,70112,10,Tamien,0,0,32981.18419537780,1,,,,,1,1,,,,
194,22:15:00,22:15:00,70122,11,Tamien,0,0,35676.18897680750,1,,,,,1,1,,,,
194,22:18:00,22:18:00,70132,12,Tamien,0,0,37667.06651487150,1,,,,,1,1,,,,
194,22:23:00,22:23:00,70142,13,Tamien,0,0,41159.68463654680,1,,,,,1,1,,,,
194,22:28:00,22:28:00,70162,14,Tamien,0,0,46760.25134872980,1,,,,,1,1,,,,
194,22:32:00,22:32:00,70172,15,Tamien,0,0,48771.63366341850,1,,,,,1,1,,,,
194,22:35:00,22:35:00,70192,16,Tamien,0,0,51319.90356819420,1,,,,,1,1,,,,
194,22:39:00,22:39:00,70202,17,Tamien,0,0,55259.58867915000,1,,,,,1,1,,,,
