TOD,Scenario,Station_Name,Ridership_Number,count_journey_time,per_train,lat,lon
ea,Ridership_2040_moderate,4th and King,264,5,52.8,37.77673761681249,-122.39494716886722
ea,Ridership_2040_moderate,Atherton,319,5,63.8,37.46447556254199,-122.19767440578178
ea,Ridership_2040_moderate,Bayshore,288,5,57.6,37.707716194010786,-122.40181692100869
ea,Ridership_2040_moderate,Blossom Hill,10,6,1.6666666666666667,37.252451211010396,-121.79772696072882
ea,Ridership_2040_moderate,Broadway,326,5,65.2,37.58728824070041,-122.36206316363042
ea,Ridership_2040_moderate,Burlingame,332,5,66.4,37.579784239598354,-122.34406869702896
ea,Ridership_2040_moderate,California Ave,314,6,52.333333333333336,37.428924920324114,-122.14130909428673
ea,Ridership_2040_moderate,Capitol,14,6,2.3333333333333335,37.28400149341915,-121.84184124217718
ea,Ridership_2040_moderate,Gilroy,2,6,0.3333333333333333,37.004510163602646,-121.56675298501878
ea,Ridership_2040_moderate,Hayward Park,339,5,67.8,37.5529445877276,-122.30942618742424
ea,Ridership_2040_moderate,Hillsdale,350,5,70.0,37.54157217114981,-122.30068921820495
ea,Ridership_2040_moderate,Lawrence,198,6,33.0,37.37054208586365,-121.99678611573393
ea,Ridership_2040_moderate,Menlo Park,327,5,65.4,37.45481747441266,-122.18234505381756
ea,Ridership_2040_moderate,Millbrae,319,5,63.8,37.60005813774365,-122.38716357110485
ea,Ridership_2040_moderate,Morgan Hill,4,6,0.6666666666666666,37.12973319634205,-121.650645664784
ea,Ridership_2040_moderate,Mountain View,285,6,47.5,37.39445754646227,-122.07593286878692
ea,Ridership_2040_moderate,Palo Alto,348,6,58.0,37.44319218110702,-122.16441235036379
ea,Ridership_2040_moderate,Redwood City,372,5,74.4,37.48575969310709,-122.23136195740514
ea,Ridership_2040_moderate,San Antonio,298,6,49.666666666666664,37.407509282199506,-122.10751724793137
ea,Ridership_2040_moderate,San Bruno,301,5,60.2,37.630742889729746,-122.41180196248293
ea,Ridership_2040_moderate,San Jose Diridon,132,7,18.857142857142858,37.32973433784033,-121.90337965869688
ea,Ridership_2040_moderate,San Mateo,332,5,66.4,37.5681603459612,-122.32391967532075
ea,Ridership_2040_moderate,Santa Clara,154,6,25.666666666666668,37.353207282614996,-121.93549376712492
ea,Ridership_2040_moderate,South San Francisco,297,5,59.4,37.65434311314393,-122.40632367452082
ea,Ridership_2040_moderate,Sunnyvale,250,6,41.666666666666664,37.37884425148521,-122.03140710781794
ea,Ridership_2040_moderate,Tamien,46,7,6.571428571428571,37.31274326682811,-121.88475697613043
ea,Ridership_2040_moderate,Transbay,135,5,27.0,37.789051867125714,-122.39702424974188
ev,Ridership_2017_observed,Bayshore,27,5,5.4,37.707716194010786,-122.40181692100869
ev,Ridership_2017_observed,Belmont,505,4,126.25,37.52120335901958,-122.27624353516848
ev,Ridership_2017_observed,Burlingame,330,5,66.0,37.579784239598354,-122.34406869702896
ev,Ridership_2017_observed,California Ave,390,4,97.5,37.428924920324114,-122.14130909428673
ev,Ridership_2017_observed,Hayward Park,431,5,86.2,37.5529445877276,-122.30942618742424
ev,Ridership_2017_observed,Hillsdale,473,5,94.6,37.54157217114981,-122.30068921820495
ev,Ridership_2017_observed,Lawrence,221,3,73.66666666666667,37.37054208586365,-121.99678611573393
ev,Ridership_2017_observed,Menlo Park,519,4,129.75,37.45481747441266,-122.18234505381756
ev,Ridership_2017_observed,Millbrae,288,5,57.6,37.60005813774365,-122.38716357110485
ev,Ridership_2017_observed,Mountain View,357,4,89.25,37.39445754646227,-122.07593286878692
ev,Ridership_2017_observed,Palo Alto,540,4,135.0,37.44319218110702,-122.16441235036379
ev,Ridership_2017_observed,Redwood City,593,4,148.25,37.48575969310709,-122.23136195740514
ev,Ridership_2017_observed,San Antonio,348,4,87.0,37.407509282199506,-122.10751724793137
ev,Ridership_2017_observed,San Bruno,104,5,20.8,37.630742889729746,-122.41180196248293
ev,Ridership_2017_observed,San Carlos,573,4,143.25,37.50812619416385,-122.26029797578131
ev,Ridership_2017_observed,San Jose Diridon,128,3,42.666666666666664,37.32973433784033,-121.90337965869688
ev,Ridership_2017_observed,San Mateo,426,5,85.2,37.5681603459612,-122.32391967532075
ev,Ridership_2017_observed,Santa Clara,168,3,56.0,37.353207282614996,-121.93549376712492
ev,Ridership_2017_observed,South San Francisco,45,5,9.0,37.65434311314393,-122.40632367452082
ev,Ridership_2017_observed,Sunnyvale,262,4,65.5,37.37884425148521,-122.03140710781794
ev,Ridership_2017_observed,Tamien,2,2,1.0,37.31274326682811,-121.88475697613043
ev,Ridership_2040_HSR2,22nd St,2259,24,94.125,37.757576360740146,-122.39241209707016
ev,Ridership_2040_HSR2,4th and King,2006,28,71.64285714285714,37.77673761681249,-122.39494716886722
ev,Ridership_2040_HSR2,Atherton,2821,23,122.65217391304348,37.46447556254199,-122.19767440578178
ev,Ridership_2040_HSR2,Bayshore,2226,24,92.75,37.707716194010786,-122.40181692100869
ev,Ridership_2040_HSR2,Belmont,2767,23,120.30434782608695,37.52120335901958,-122.27624353516848
ev,Ridership_2040_HSR2,Blossom Hill,0,23,0.0,37.252451211010396,-121.79772696072882
ev,Ridership_2040_HSR2,Broadway,2606,23,113.30434782608695,37.58728824070041,-122.36206316363042
ev,Ridership_2040_HSR2,Burlingame,2621,23,113.95652173913044,37.579784239598354,-122.34406869702896
ev,Ridership_2040_HSR2,California Ave,2179,23,94.73913043478261,37.428924920324114,-122.14130909428673
ev,Ridership_2040_HSR2,Capitol,0,23,0.0,37.28400149341915,-121.84184124217718
ev,Ridership_2040_HSR2,Gilroy,0,23,0.0,37.004510163602646,-121.56675298501878
ev,Ridership_2040_HSR2,Hayward Park,2700,23,117.3913043478261,37.5529445877276,-122.30942618742424
ev,Ridership_2040_HSR2,Hillsdale,2937,23,127.69565217391305,37.54157217114981,-122.30068921820495
ev,Ridership_2040_HSR2,Lawrence,1295,23,56.30434782608695,37.37054208586365,-121.99678611573393
ev,Ridership_2040_HSR2,Menlo Park,2850,23,123.91304347826087,37.45481747441266,-122.18234505381756
ev,Ridership_2040_HSR2,Millbrae,2670,24,111.25,37.60005813774365,-122.38716357110485
ev,Ridership_2040_HSR2,Morgan Hill,0,23,0.0,37.12973319634205,-121.650645664784
ev,Ridership_2040_HSR2,Mountain View,2046,23,88.95652173913044,37.39445754646227,-122.07593286878692
ev,Ridership_2040_HSR2,Palo Alto,3054,23,132.7826086956522,37.44319218110702,-122.16441235036379
ev,Ridership_2040_HSR2,Redwood City,3064,23,133.2173913043478,37.48575969310709,-122.23136195740514
ev,Ridership_2040_HSR2,San Antonio,2065,23,89.78260869565217,37.407509282199506,-122.10751724793137
ev,Ridership_2040_HSR2,San Bruno,2184,24,91.0,37.630742889729746,-122.41180196248293
ev,Ridership_2040_HSR2,San Carlos,2781,23,120.91304347826087,37.50812619416385,-122.26029797578131
ev,Ridership_2040_HSR2,San Jose Diridon,933,23,40.56521739130435,37.32973433784033,-121.90337965869688
ev,Ridership_2040_HSR2,San Mateo,2747,23,119.43478260869566,37.5681603459612,-122.32391967532075
ev,Ridership_2040_HSR2,Santa Clara,1047,23,45.52173913043478,37.353207282614996,-121.93549376712492
ev,Ridership_2040_HSR2,South San Francisco,2167,24,90.29166666666667,37.65434311314393,-122.40632367452082
ev,Ridership_2040_HSR2,Sunnyvale,1579,23,68.65217391304348,37.37884425148521,-122.03140710781794
